order_line,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
6082,US-2014-165589,2/18/2014,2/18/2014,Same Day,TB-21595,FUR-FU-10002396,25.16,5,0.6,-11.322
6,Ca-New-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0,14.1694
7,Ca-New-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0,1.9656
8,Ca-New-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152
9,Ca-New-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825
10,Ca-New-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,0,34.47
11,Ca-New-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092
12,Ca-New-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.3568
17,Ca-New-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0,13.3176
18,Ca-New-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,OFF-ST-10000107,55.5,2,0,9.99
19,Ca-New-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,OFF-AR-10003056,8.56,2,0,2.4824
20,Ca-New-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,TEC-PH-10001949,213.48,3,0.2,16.011
21,Ca-New-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.384
47,Ca-New-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,OFF-ST-10001713,211.96,4,0,8.4784
68,Ca-New-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,OFF-AR-10002671,1113.024,8,0.2,111.3024
69,Ca-New-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,TEC-PH-10002726,167.968,4,0.2,62.988
,,,,,,,,,,
79,US-2014-147606,11/26/2014,12/1/2014,Second Class,JE-15745,FUR-FU-10003194,19.3,5,0.6,-14.475
82,Ca-New-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,OFF-AR-10002053,14.9,5,0,4.172
83,Ca-New-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,OFF-ST-10002370,21.39,1,0,6.2031
114,Ca-New-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,OFF-FA-10000621,40.096,14,0.2,14.5348
115,Ca-New-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,OFF-EN-10002600,4.72,2,0.2,1.652
116,Ca-New-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,OFF-PA-10004965,23.976,3,0.2,7.4925
117,Ca-New-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,OFF-EN-10002504,130.464,6,0.2,44.0316
125,US-2014-152030,12/26/2014,12/28/2014,Second Class,AD-10180,FUR-CH-10004063,600.558,3,0.3,-8.5794
126,US-2014-134614,9/20/2014,9/25/2014,Standard Class,PF-19165,FUR-TA-10004534,617.7,6,0.5,-407.682
147,Ca-New-2014-110072,10/22/2014,10/28/2014,Standard Class,MG-17680,FUR-FU-10000521,93.888,4,0.2,12.9096
158,Ca-New-2014-104269,3/1/2014,3/6/2014,Second Class,DB-13060,FUR-CH-10004063,457.568,2,0.2,51.4764
165,Ca-New-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,OFF-AR-10004441,9.936,3,0.2,2.7324
166,Ca-New-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,TEC-MA-10000822,8159.952,8,0.4,-1359.992
167,Ca-New-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,OFF-ST-10000991,275.928,3,0.2,-58.6347
168,Ca-New-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,FUR-CH-10004287,1740.06,9,0.3,-24.858
169,Ca-New-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,OFF-AR-10002656,32.064,6,0.2,6.8136
170,Ca-New-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,OFF-AP-10002518,177.98,5,0.8,-453.849
171,Ca-New-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,TEC-PH-10003931,143.976,3,0.2,8.9985
172,Ca-New-2014-118962,8/5/2014,8/9/2014,Standard Class,CS-12130,OFF-PA-10000659,20.94,3,0,9.8418
173,Ca-New-2014-118962,8/5/2014,8/9/2014,Standard Class,CS-12130,OFF-PA-10001144,110.96,2,0,53.2608
174,Ca-New-2014-118962,8/5/2014,8/9/2014,Standard Class,CS-12130,FUR-CH-10003817,340.144,7,0.2,21.259
175,US-2014-100853,9/14/2014,9/19/2014,Standard Class,JB-15400,OFF-AP-10000891,52.448,2,0.8,-131.12
,,,,,,,,,,
176,US-2014-100853,9/14/2014,9/19/2014,Standard Class,JB-15400,OFF-LA-10003148,20.16,4,0.2,6.552
181,Ca-New-2014-166191,12/5/2014,12/9/2014,Second Class,DK-13150,OFF-ST-10003455,24.816,2,0.2,1.8612
182,Ca-New-2014-166191,12/5/2014,12/9/2014,Second Class,DK-13150,TEC-AC-10004659,408.744,7,0.2,76.6395
183,Ca-New-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675,TEC-PH-10003273,503.96,4,0,131.0296
184,Ca-New-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675,TEC-PH-10004896,149.95,5,0,41.986
